Date,Sector,Ticker,Company,Price,P/E,Forward P/E,Market Cap,Revenue,Revenue Growth,Beta,52W High,52W Low,1Y Return,Basket Score,Basket Tier,Basket Weight,CapEx,CapEx Growth,Operating Cash Flow,Free Cash Flow,Net Income,EBITDA,Total Debt,Cash,Net Debt,FCF Margin YoY Change,Net Debt / EBITDA YoY Change,CapEx / OCF YoY Change,Price Extension 200D,Momentum Acceleration,Volatility Expansion,Volume Activity,Forward EV/EBIT,Enterprise Value,Forward Revenue,Operating Income,Operating Margin,Forward EBIT,Market Data Date,YTD Return,YTD Start Market Cap,YTD Year
2026-06-12,CLOUD_HYPERSCALERS,AMZN,AMZN,238.550003052,31.637932,24.193811,2566110000000.0,742776000000.0,,1.42412585273,274.989990234,198.789993286,0.118692538485,78.0555555556,1,4.0,,,,,,,,,,,,,0.0259800375745,0.118971860174,-0.0013423672724,-0.0889105546378,,,,,,,2026-06-12,,,
2026-06-12,CLOUD_HYPERSCALERS,BABA,BABA,112.819999695,17.356922,12.256457,270670000000.0,1023670000000.0,,1.30458759693,187.616928101,102.885108948,-0.0236997798569,51.8055555556,3,2.0,,,,,,,,,,,,,-0.238851006803,-0.14847902431,-0.0124345994464,-0.206468597133,,,,,,,2026-06-12,,,
2026-06-12,CLOUD_HYPERSCALERS,CRWV,CRWV,100.550003052,,,,6227000000.0,,2.86998053712,183.580001831,64.5500030518,-0.32503187066,40.5555555556,4,1.0,10309000000.0,,3058000000.0,-7251000000.0,-1592000000.0,2995000000.0,24859000000.0,2244000000.0,22615000000.0,,,,0.00456553517592,0.321755364189,-0.103096148413,0.0587107342117,,,,-163000000.0,-0.0261763288903,,2026-06-12,,,
2026-06-12,CLOUD_HYPERSCALERS,GOOG,GOOG,358.160003662,27.319605,24.733765,4367740000000.0,422498000000.0,,1.27320661834,398.799987793,165.537307739,1.02962520756,94.4444444444,1,4.0,,,,,,,,,,,,,0.166143373176,-0.0634414192453,0.218103297752,0.0389017563361,,,,,,,2026-06-12,,,
2026-06-12,CLOUD_HYPERSCALERS,IBM,IBM,272.239990234,24.092033,20.28212,255874000000.0,68910997504.0,,1.10268300019,329.230010986,214.63999939,-0.00650096172982,33.0555555556,4,1.0,,,,,,,,,,,,,0.0083425075665,0.115601775307,0.324836542984,1.11783127695,,,,,,,2026-06-12,,,
2026-06-12,CLOUD_HYPERSCALERS,META,META,566.454956055,20.617455,15.6425705,1439240000000.0,214963000000.0,,1.44715163755,787.419189453,525.233154297,-0.179720727762,57.0833333333,2,3.0,,,,,,,,,,,,,-0.137579817611,-0.0301918556787,0.189061845927,0.154847469472,,,,,,,2026-06-12,,,
2026-06-12,CLOUD_HYPERSCALERS,MSFT,MSFT,390.739990234,23.258333,20.197561,2902590000000.0,318273000000.0,,0.847354132039,538.658508301,355.998931885,-0.177519856247,77.9166666667,2,3.0,,,,,,,,,,,,,-0.135288095328,0.031640083049,0.225251951032,0.361867033243,,,,,,,2026-06-12,,,
2026-06-12,CLOUD_HYPERSCALERS,NBIS,NBIS,232.36000061,712.618467103,,58791023536.0,529800000.0,3.50893617021,3.24887219632,264.510009766,44.2999992371,3.62132072895,20.9722222222,4,1.0,4066000000.0,4.03404729479,384800000.0,-3681200000.0,82500000.0,-200700000.0,4103200000.0,3678100000.0,425100000.0,-2.16445258347,,7.27784728477,0.920900891947,0.158488733794,0.0371795292026,0.0778211806353,,59216123536.0,,-611700000.0,-1.15458663647,,2026-06-12,,,
2026-06-12,CLOUD_HYPERSCALERS,ORCL,ORCL,183.491638184,31.52911,16.94321,529566000000.0,67356999680.0,,1.74079710027,324.629974365,135.533477783,-0.0694618671371,46.1111111111,3,2.0,,,,,,,,,,,,,-0.101384259562,0.177635823169,0.028515610383,0.0418477827024,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,ADI,ADI,417.790008545,62.078754,28.280016,203500000000.0,12740193280.0,,1.44442518521,437.670013428,217.756866455,0.824049177664,50.0980392157,3,2.0,,,,,,,,,,,,,0.367789631089,0.163564727728,0.287665990573,0.397840541034,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,ALAB,ALAB,367.149993896,249.7619,87.27765,62932423758.0,1001443968.0,,3.20995554637,367.470001221,85.9499969482,2.89177451928,33.4640522876,3,2.0,,,,,,,,,,,,,1.01586719886,1.33081447278,0.020184048076,0.110935095355,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,AMD,AMD,511.570007324,169.39404,39.040714,834166000000.0,37454000128.0,,2.87426886072,542.520019531,116.160003662,3.31704647531,76.2745098039,1,4.0,,,,,,,,,,,,,1.014598055,0.839535119227,0.152256842303,-0.322980723508,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,ARM,ARM,380.809997559,453.34525,124.131294,405202000000.0,4920000000.0,,3.04143390087,411.829986572,104.550003052,1.74715056249,59.8366013072,2,3.0,,,,,,,,,,,,,1.3468172475,1.86175812127,0.53813401421,0.997794165505,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,AVGO,AVGO,381.466278076,63.678333,19.744751,1817730000000.0,75464998912.0,,2.16005333623,480.809051514,246.311264038,0.504142445743,82.6470588235,1,4.0,,,,,,,,,,,,,0.0694123133224,0.0577172893958,0.16620933632,0.243188783312,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,CRDO,CRDO,250.809997559,136.158488959,,46261889001.1,1068138000.0,2.26117142752,3.05469109866,264.760009766,73.4899978638,2.37382310888,26.3071895425,4,1.0,19254000.0,0.0833896016205,59321000.0,40067000.0,339765000.0,349213000.0,,1220464000.0,,0.103361125013,,,0.660823423709,0.505862805061,0.150325100678,0.50834671031,,,,322948000.0,0.30234670052,,2026-06-12,,,
2026-06-12,COMPUTE,GFS,GFS,81.2628860474,50.8706083037,,45173100173.7,,,2.03371109325,89.8305435181,31.5744991302,1.14722928555,22.2222222222,4,1.0,,,,,888000000.0,,,,,,,,0.772910275652,0.666343101671,0.301286708541,0.722318887132,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,INTC,INTC,124.569999695,,80.8046,626089000000.0,53762998272.0,,2.5056129798,129.440002441,19.3099994659,4.99759253487,75.2941176471,2,3.0,,,,,,,,,,,,,1.32825454263,0.465728131291,0.256863858926,0.173282777648,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,LSCC,LSCC,144.529998779,1032.3572,62.534615,19801745405.0,574009024.0,,2.45601406325,154.600006104,47.8499984741,1.91802952436,11.7320261438,4,1.0,,,,,,,,,,,,,0.600663594365,0.226746558845,0.198338331751,0.0178935711113,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,MCHP,MCHP,95.2399978638,432.9091,23.278778,51627629564.0,4713099776.0,,1.70604859218,102.406021118,48.0562324524,0.440061837089,27.5490196078,4,1.0,,,,,,,,,,,,,0.338199226768,0.443957212772,0.125559188144,0.259175630923,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,MPWR,MPWR,1574.91687012,112.34473,52.300385,77492572786.0,2957090048.0,,2.36285290994,1687.31542969,666.916992188,1.21176148902,41.3725490196,3,2.0,,,,,,,,,,,,,0.397264673857,0.200302336482,0.241405157485,0.20594184181,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,MRVL,MRVL,279.631011963,96.11684,45.312943,244892000000.0,8717100032.0,,2.65581776771,316.351959229,62.177532196,3.02722822266,60.522875817,2,3.0,,,,,,,,,,,,,1.57898471699,1.40760462108,0.384269777841,1.39123159795,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,MU,MU,981.45904541,46.302357,8.75113,1107000000000.0,58119000064.0,,2.93354852151,1079.40393066,104.711936951,7.46926888071,84.8039215686,1,4.0,,,,,,,,,,,,,1.57252197559,-0.565541191682,0.336054910045,0.65423366398,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,NVDA,NVDA,205.190002441,31.422665,16.122227,4969910000000.0,253491000000.0,,1.83385063004,235.465576172,141.781173706,0.416988116329,89.9346405229,1,4.0,,,,,,,,,,,,,0.0854469286864,0.0300611081314,0.14403995462,-0.00266523225114,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,NXPI,NXPI,303.829345703,29.145313,17.293371,76968329446.0,12615000064.0,,1.7403640752,331.545379639,181.807571411,0.42903105259,39.477124183,3,2.0,,,,,,,,,,,,,0.319072592485,0.498344577418,0.40283172072,0.351846764936,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,ON,ON,116.790000916,86.51111,27.381428,45408325033.0,6063000064.0,,2.11627348198,133.929992676,44.9000015259,1.20441679737,24.9019607843,4,1.0,,,,,,,,,,,,,0.740102149791,0.680829390027,0.24545455362,0.244552580909,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,QCOM,QCOM,211.720001221,22.790096,19.847832,223153000000.0,44486000640.0,,1.91974855469,250.096282959,123.613441467,0.362208155902,53.5620915033,2,3.0,,,,,,,,,,,,,0.290407869884,0.548010589367,0.612815422839,0.84570764234,,,,,,,2026-06-12,,,
2026-06-12,COMPUTE,TSM,TSM,423.929992676,36.482788,21.707851,2198700000000.0,4103900000000.0,,2.03541572338,445.646362305,207.218276978,0.989594948033,90.0,1,4.0,,,,,,,,,,,,,0.287211816181,0.00723670749288,0.189265368166,-0.0255473022884,,,,,,,2026-06-12,,,
2026-06-12,CONSUMER_AI,AAPL,AAPL,291.130004883,34.8841935468,,4275930024000.0,451442000000.0,0.127573270458,0.901712171538,315.200012207,194.866928101,0.467294051419,99.1666666667,1,4.0,11492000000.0,-0.0360677738634,157760000000.0,146268000000.0,122575000000.0,159424000000.0,82700000000.0,45572000000.0,37128000000.0,-0.022878350326,-0.228131723432,-0.00621300359528,0.0925990110867,0.0474351154413,0.0195244963168,0.0176221174059,,4313058024000.0,,147366000000.0,0.326433960509,,2026-06-12,,,
2026-06-12,CONSUMER_AI,ABNB,"Airbnb, Inc.",132.279998779,,,,12647000000.0,0.125979344729,1.20569574953,144.179992676,111.540000916,-0.0470427122984,57.196969697,2,3.0,35373000.0,0.0,7007000000.0,6971627000.0,2517000000.0,2609000000.0,2475000000.0,7037000000.0,-4562000000.0,-0.024395939964,0.48607420382,-0.000392925421207,0.0259625915517,0.0578140119738,0.0262108549182,-0.164197540695,,,,2592000000.0,0.204949790464,,2026-06-12,,,
